symptoms,triage_level,specialty
chest pain and left arm pain,critical,Cardiology
heart attack symptoms,critical,Cardiology
severe palpitations and chest pain,critical,Cardiology
cardiac arrest symptoms,critical,Cardiology
severe chest pressure and sweating,critical,Cardiology
chest pain and jaw pain,critical,Cardiology
heart failure symptoms,critical,Cardiology
severe arrhythmia,critical,Cardiology
aortic dissection pain,critical,Cardiology
sudden cardiac death symptoms,critical,Cardiology
stroke symptoms and face drooping,critical,Neurology
brain hemorrhage symptoms,critical,Neurology
severe meningitis,critical,Neurology
spinal cord injury,critical,Neurology
status epilepticus,critical,Neurology
severe traumatic brain injury,critical,Neurology
sudden paralysis,critical,Neurology
acute stroke,critical,Neurology
severe migraine with neurological symptoms,critical,Neurology
intracranial pressure symptoms,critical,Neurology
severe respiratory failure,critical,Pulmonology
acute respiratory distress,critical,Pulmonology
pulmonary embolism symptoms,critical,Pulmonology
severe pneumothorax,critical,Pulmonology
acute asthma attack,critical,Pulmonology
respiratory arrest,critical,Pulmonology
severe hemoptysis,critical,Pulmonology
acute bronchospasm,critical,Pulmonology
severe hypoxia,critical,Pulmonology
tension pneumothorax,critical,Pulmonology
severe anaphylaxis,critical,Allergy
anaphylactic shock,critical,Allergy
severe allergic reaction to medication,critical,Allergy
severe bee sting allergy,critical,Allergy
severe food allergy reaction,critical,Allergy
acute gastrointestinal bleeding,critical,Gastroenterology
severe liver failure,critical,Gastroenterology
acute pancreatitis severe,critical,Gastroenterology
bowel perforation,critical,Gastroenterology
severe internal bleeding abdomen,critical,Gastroenterology
ruptured appendix,critical,Gastroenterology
acute intestinal obstruction,critical,Gastroenterology
severe mesenteric ischemia,critical,Gastroenterology
major trauma with internal bleeding,critical,Emergency
severe polytrauma,critical,Emergency
gunshot wound,critical,Emergency
stab wound to chest,critical,Emergency
severe crush injury,critical,Emergency
major burns over body,critical,Emergency
chemical burns to eyes,critical,Emergency
severe hypothermia,critical,Emergency
heat stroke,critical,Emergency
lightning strike injury,critical,Emergency
newborn not breathing,critical,Pediatrics
severe febrile seizure in child,critical,Pediatrics
child with severe dehydration,critical,Pediatrics
infant with severe respiratory distress,critical,Pediatrics
child poisoning,critical,Pediatrics
severe sepsis,critical,Emergency
septic shock,critical,Emergency
diabetic ketoacidosis severe,critical,Endocrinology
severe hypoglycemia unconscious,critical,Endocrinology
thyroid storm,critical,Endocrinology
adrenal crisis,critical,Endocrinology
severe hypertensive crisis,critical,Cardiology
malignant hypertension,critical,Cardiology
acute kidney failure,critical,Urology
severe renal failure,critical,Urology
acute urinary retention severe,critical,Urology
ectopic pregnancy rupture,critical,Gynecology
severe postpartum hemorrhage,critical,Gynecology
eclampsia in pregnancy,critical,Gynecology
severe preeclampsia,critical,Gynecology
placental abruption,critical,Gynecology
retinal detachment,critical,Ophthalmology
acute glaucoma attack,critical,Ophthalmology
chemical injury to eye,critical,Ophthalmology
sudden vision loss both eyes,critical,Ophthalmology
mild cold symptoms,normal,General Medicine
common cold,normal,General Medicine
seasonal allergies,normal,General Medicine
minor headache after screen time,normal,General Medicine
mild indigestion,normal,General Medicine
slight fatigue,normal,General Medicine
mild dehydration,normal,General Medicine
minor bruise,normal,General Medicine
mild sunburn on arm,normal,General Medicine
chapped lips,normal,General Medicine
dry throat,normal,General Medicine
mild gas pain,normal,General Medicine
hiccups lasting few minutes,normal,General Medicine
minor ankle twist,normal,Orthopedics
mild wrist pain,normal,Orthopedics
minor shoulder stiffness,normal,Orthopedics
mild knee discomfort,normal,Orthopedics
minor muscle cramp,normal,Orthopedics
mild joint stiffness morning,normal,Orthopedics
minor foot pain,normal,Orthopedics
mild eye strain,normal,Ophthalmology
minor eye redness,normal,Ophthalmology
mild watery eyes,normal,Ophthalmology
mild dandruff,normal,Dermatology
minor skin dryness,normal,Dermatology
mild acne,normal,Dermatology
minor rash on arm,normal,Dermatology
mild eczema flare,normal,Dermatology
minor psoriasis patch,normal,Dermatology
mild ear wax buildup,normal,ENT
minor nasal congestion,normal,ENT
mild throat clearing,normal,ENT
minor ear ringing,normal,ENT
mild snoring,normal,ENT
mild anxiety feeling,normal,Psychiatry
minor stress symptoms,normal,Psychiatry
mild mood swings,normal,Psychiatry
minor sleep difficulty,normal,Psychiatry
mild nervousness,normal,Psychiatry
minor stomach upset,normal,Gastroenterology
mild heartburn after eating,normal,Gastroenterology
minor bloating,normal,Gastroenterology
mild gas after beans,normal,Gastroenterology
minor nausea after travel,normal,Gastroenterology
mild toothache,normal,Dentistry
minor gum sensitivity,normal,Dentistry
mild tooth sensitivity to cold,normal,Dentistry
minor mouth ulcer,normal,Dentistry
mild bad breath,normal,Dentistry
minor urinary frequency,normal,Urology
mild thirst,normal,General Medicine
minor appetite change,normal,General Medicine
mild weight fluctuation,normal,General Medicine
minor hair loss,normal,Dermatology
mild nail brittleness,normal,Dermatology
minor vitamin deficiency symptoms,normal,General Medicine
mild iron deficiency,normal,General Medicine
minor fatigue after exercise,normal,General Medicine
mild post workout soreness,normal,Orthopedics
minor paper cut on hand,normal,General Medicine
mild insect bite arm,normal,Dermatology
minor splinter in finger,normal,General Medicine
mild cold sore,normal,Dermatology
minor canker sore,normal,Dentistry
abdominal pain and bloating,moderate,Gastroenterology
stomach cramps and diarrhea,moderate,Gastroenterology
persistent nausea and vomiting,moderate,Gastroenterology
gastroenteritis symptoms,moderate,Gastroenterology
food poisoning symptoms,moderate,Gastroenterology
irritable bowel symptoms,moderate,Gastroenterology
colitis symptoms,moderate,Gastroenterology
gastritis pain,moderate,Gastroenterology
peptic ulcer pain,moderate,Gastroenterology
chronic constipation,moderate,Gastroenterology
recurrent abdominal pain,moderate,Gastroenterology
fatty liver symptoms,moderate,Gastroenterology
hepatitis symptoms,moderate,Gastroenterology
gallbladder pain,moderate,Gastroenterology
bile duct pain,moderate,Gastroenterology
moderate chest pain,moderate,Cardiology
palpitations without chest pain,moderate,Cardiology
high blood pressure symptoms,moderate,Cardiology
moderate hypertension,moderate,Cardiology
peripheral artery disease symptoms,moderate,Cardiology
varicose veins pain,moderate,Cardiology
moderate edema in legs,moderate,Cardiology
chest discomfort on exertion,moderate,Cardiology
mild angina,moderate,Cardiology
heart murmur symptoms,moderate,Cardiology
persistent cough with blood traces,moderate,Pulmonology
chronic bronchitis symptoms,moderate,Pulmonology
moderate asthma symptoms,moderate,Pulmonology
sleep apnea symptoms,moderate,Pulmonology
moderate pneumonia,moderate,Pulmonology
pleurisy pain,moderate,Pulmonology
moderate emphysema symptoms,moderate,Pulmonology
recurrent respiratory infections,moderate,Pulmonology
moderate breathlessness,moderate,Pulmonology
chronic sinusitis,moderate,ENT
recurrent ear infections,moderate,ENT
moderate hearing loss,moderate,ENT
nasal polyps symptoms,moderate,ENT
tonsillitis,moderate,ENT
laryngitis,moderate,ENT
moderate throat pain,moderate,ENT
deviated septum symptoms,moderate,ENT
eustachian tube dysfunction,moderate,ENT
moderate vertigo,moderate,ENT
chronic headaches,moderate,Neurology
moderate migraine,moderate,Neurology
tension headache,moderate,Neurology
cluster headache,moderate,Neurology
moderate dizziness,moderate,Neurology
peripheral neuropathy symptoms,moderate,Neurology
